title,audience_score,number_of_audience_ratings,movie_genre,movie_author,movie_director,ranking,critic_score,number_of_critic_ratings
12 Angry Men (Twelve Angry Men) (1957),97,103672,"Classics,Drama",Sidney Lumet,Reginald Rose,53,100,49
The 39 Steps (1935),86,23647,"Action & Adventure,Classics,Mystery & Suspense",Alfred Hitchcock,"Alma Reville, Charles Bennett, Ian Hay",76,98,44
The Adventures of Robin Hood (1938),89,33584,"Action & Adventure,Classics,Romance",Michael Curtiz,"Norman Reilly Raine, Seton I. Miller",34,100,45
All About Eve (1950),94,44564,"Classics,Comedy,Drama",Joseph L. Mankiewicz,Joseph L. Mankiewicz,7,100,64
All Quiet on the Western Front (1930),89,17768,"Classics,Drama",Lewis Milestone,"Lewis Milestone, Maxwell Anderson, Del Andrews, George Abbott",56,100,40
Casablanca (1942),95,355952,"Classics,Drama,Romance",Michael Curtiz,"Julius J. Epstein, Philip G. Epstein, Howard Koch",16,97,74
Frankenstein (1931),87,41140,"Classics,Horror,Science Fiction & Fantasy,Special Interest",James Whale,"Francis Edward Faragoh, Garrett Fort, John L. Balderston, Francis Edwards Faragoh, Robert Florey, Garrett Elsden Fort",65,100,45
King Kong (1933),86,89669,"Action & Adventure,Classics,Horror",Ernest B. Schoedsack,"James Ashmore Creelman, Ruth Rose, James Creelman",32,98,54
Laura (1944),91,10481,"Classics,Mystery & Suspense",Otto Preminger,"Jay Dratler, Samuel Hoffenstein, Elizabeth Reinhardt, Ring Lardner Jr., Jerry Cady",19,100,60
M (1931),95,35778,"Art House & International,Drama,Mystery & Suspense",Fritz Lang,"Fritz Lang, Thea von Harbou",45,100,51
The Maltese Falcon (1941),91,57268,"Drama,Mystery & Suspense",John Huston,John Huston,27,100,50
Metropolis (1927),92,62018,"Action & Adventure,Art House & International,Classics,Drama,Science Fiction & Fantasy",Fritz Lang,"Fritz Lang, Thea von Harbou",10,99,116
Rear Window (1954),95,149458,"Classics,Drama,Mystery & Suspense",Alfred Hitchcock,John Michael Hayes,36,100,63
Rebecca (1940),92,39026,"Classics,Drama,Mystery & Suspense",Alfred Hitchcock,"Joan Harrison, Michael Hogan, Philip MacDonald, Robert E. Sherwood",71,100,48
A Streetcar Named Desire (1951),90,54761,"Classics,Drama",Elia Kazan,"Tennessee Williams, Oscar Saul",60,98,54
Touch of Evil (1958),92,30867,"Classics,Drama,Mystery & Suspense",Orson Welles,Orson Welles,68,96,70
High Noon (1952),89,25065,"Mystery & Suspense,Western",Fred Zinnemann,Carl Foreman,88,96,50
